Element, NumTerminals, NumConductors, NumPhases, kW1, kvar1, kW2, kvar2, kW3, kvar3, ... 
"Line.LINE58", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE59", 2, 3, 3,     12.035,      3.943,     12.038,      3.966,      5.003,      1.645,    -12.034,     -3.943,    -12.037,     -3.966,     -5.003,     -1.645
"Line.LINE60", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE61", 2, 3, 3,     27.189,      8.952,     29.257,      9.590,     32.323,     10.628,    -27.183,     -8.949,    -29.249,     -9.588,    -32.312,    -10.624
"Line.LINE62", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE63", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE64", 2, 3, 3,     12.034,      3.943,     12.037,      3.966,      5.003,      1.645,    -12.034,     -3.943,    -12.037,     -3.965,     -5.003,     -1.645
"Line.LINE65", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE66", 2, 3, 3,     26.183,      8.620,     29.249,      9.588,     31.312,     10.295,    -26.179,     -8.618,    -29.243,     -9.586,    -31.304,    -10.291
"Line.LINE67", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      1.000,      0.329,      0.000,      0.000,      0.000,      0.000,     -1.000,     -0.329
"Line.LINE68", 2, 3, 3,      1.000,      0.329,      0.000,      0.000,      0.000,      0.000,     -1.000,     -0.329,      0.000,      0.000,      0.000,      0.000
"Line.LINE69", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE70", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE71", 2, 3, 3,     12.034,      3.943,     12.037,      3.965,      5.003,      1.645,    -12.034,     -3.943,    -12.037,     -3.965,     -5.003,     -1.645
"Line.LINE72", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
