,PUI_bus_CP1,PUI_bus_CP2,PUI_bus_CP3
2024-10-17 06:10:00,146.00558677804668,199.99999982933494,199.9999984565913
2024-10-17 06:15:00,110.57492662138154,199.99999985089485,199.99999908466478
2024-10-17 06:20:00,95.97948963315565,199.99999997460412,199.99999981367864
2024-10-17 06:25:00,94.9664319296486,199.99999994695523,199.99999981542507
2024-10-17 06:30:00,134.09452819136507,199.99999965947495,199.999999641946
2024-10-17 06:35:00,154.51443449496387,199.99999983628953,199.99999976787
2024-10-17 06:40:00,164.79437217461285,199.99999835240612,199.99999986336715
2024-10-17 06:45:00,168.59346166975067,199.99999833970594,199.99999957707595
2024-10-17 06:50:00,167.81010691564097,199.9999992057457,199.99999949911563
2024-10-17 06:55:00,160.71184736634223,199.99999896965107,199.99999981065574
2024-10-17 07:00:00,150.06646994426657,199.9999997854039,199.99999921988035
