,CP_1_1,CP_2_1,CP_3_1,PV_1_1,PV_2_1,PV_3_1,PV_4_1,PV_5_1,PV_6_1,PV_7_1,PV_8_1,PV_9_1,PV_10_1,PV_11_1,PV_12_1,f1,f2
15,0.0,9.902725115911615,0.0,4.870295087881644,4.953776671347781,4.420072162032794,2.749174289016056,4.953313221005579,2.787863593287406,4.943054186246405,4.953480618623574,4.952950398599733,4.9525409666200355,4.923483766834802,4.951237051938807,106.04206699214997,25.343984540399564
16,0.0,9.943289398984554,0.0,4.7797626657767065,4.953756536024608,4.272230368910938,2.5108390494182555,4.953276979070094,2.74679122051679,4.944654469866574,4.953290953042693,4.953096064746211,4.945125535710433,4.93051645913001,4.951258569604402,47.357317686391866,30.81275811307051
17,0.0,9.901556529906564,0.0,4.330320576095172,4.953200775355904,3.9972094540707177,2.4788565400344447,4.951837824804114,2.699186439642395,4.94624002062356,4.947854718772037,4.938839165345835,4.944753299080707,4.924362445815342,4.9527636700613655,1.1027523347251313,40.70565073864672
18,0.0,9.906612310988397,0.0,4.953626892795409,4.9533618546863565,4.948228584433355,4.651114049468228,4.952683395796453,3.9188633107247344,4.95142205216737,4.951292445900823,4.953111754618513,4.939980290544478,4.930736256461325,4.951544500954665,1207.441078992533,1.9308702144069303
19,0.0,9.903102559192732,0.0,4.953712309630334,4.9526427318182815,4.947236220826675,4.535290655406172,4.9529237743047165,4.257834326257464,4.952696147517938,4.951144939849956,4.952774185509555,4.953615334960852,4.938436107991978,4.950696308376039,1296.8558543435188,1.3145078966171075
20,0.0,9.90274971046899,0.0,4.872396145464672,4.947703994615404,4.4175171579309085,2.792054512671128,4.951665626475835,2.8311234734608024,4.94755962267144,4.953502038074879,4.952943447222212,4.952440713823282,4.932138164114328,4.9511901431733545,114.26823838115827,24.436095356411595
21,0.0,9.906241843672342,0.0,4.953258104212341,4.953775734981177,4.936555833247515,4.615493325583289,4.953421722471577,4.546380494685417,4.94559664482053,4.953512529864589,4.952698748768528,4.940443644897354,4.918196742561733,4.952785940646744,1444.5597490371015,0.6779932949568229
22,0.0,9.903706742067774,0.0,4.9204008230246465,4.953786974456658,4.93655127802317,4.861893259252236,4.9533159138463825,4.733572148587552,4.943193197308881,4.946881633714902,4.952745382374039,4.948013677648959,4.917055383209765,4.951237051938807,1613.6693561880486,0.18222331218121363
23,0.0,9.906209685078093,0.0,4.924805913147181,4.952408547199491,4.909629576619144,3.16547027701689,4.951873748242725,3.253788737852667,4.945757686863067,4.947073811159822,4.953384105566596,4.952622275191986,4.886244495770669,4.952807577166816,373.3554581621623,13.31999035937858
24,0.0,9.904936113056333,0.0,4.953317332464147,4.953478866262521,4.950008213863387,3.2868101028715944,4.95161222564732,4.209495431364731,4.950172169838443,4.947376375847279,4.951290652372121,4.953660741973666,4.942494003781352,4.952912663215565,763.7503206623403,5.9677319244354665
